id_son,hhid,id_daughter,hgc,byear_dad,byear_mom,age_firstSurvey,useDad,survey,CASEID,byear,share_married,women,surv79,dad_age_inc1,mom_age_inc1,dad_age_inc,mom_age_inc,mom_age_at_birth,dad_age_at_birth,mom_outOfRange,dad_outOfRange,linkDad,linkMom,linkBoth,parent1,zero_parent1,ms_parent1,parent2,zero_parent2,ms_parent2,parent3,zero_parent3,ms_parent3,nparent,miss0,faminc0,lfaminc0,loginc66,loginc79,kid_age_parentInc,kid1,kid2,kid3,zero_kid1,ms_kid1,zero_kid2,ms_kid2,zero_kid3,ms_kid3,nkid,miss1,miss1_early,miss1_prime,faminc1,lfaminc1,faminc1_early,lfaminc1_early,faminc1_prime,lfaminc1_prime,up0,owninc,lown,miss1_own,miss_spouse,spouse_inc,spouse_age,weight,weight_incFirst,weight_incLast,weight_incAvg,all_parent,all_kid,married,n
2961,8172,,18,1913,,21,1,1966,,1945,100,0,0,52,45,53.33333,46.33333,25,32,0,0,1,0,0,150339.4,0,0,141105.1,0,0,100814.2,0,0,3,0,130752.9,11.78106,11.78106,0,21.33333,114554.6,147258.7,151029.2,0,0,0,0,0,0,3,0,1,1,137614.1,11.83221,,,,,1,28633.33,10.26233,0,0,32822.53,33,572299,917531,961325,937316.7,1,1,100,1
2709,7523,,12,,1931,16,0,1966,,1950,,0,0,31,35,32.66667,37,19,15,0,1,0,1,0,49411.97,0,0,84847.37,0,0,-240094.6,0,0,3,0,-35278.41,,,,18,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,1,,,86498,,,,1,0,,1
3122,8507,,12,,1929,17,0,1966,,1949,33.33334,0,0,32,37,34,39,20,15,0,1,0,1,0,27501.38,0,0,32539.81,0,0,30568.58,0,0,3,0,30203.26,10.31571,10.31571,0,19,37611.43,19590.95,34523.83,0,0,0,0,0,0,3,0,1,1,30575.4,10.32795,,,,,1,9206.667,9.127684,0,0,2.60626,,78509,146260,148401,149502.7,1,1,0,1
3953,10736,,15,1917,,22,1,1966,,1944,100,0,0,48,50,49.33333,51,29,27,0,0,1,0,0,300.6788,0,0,45251.73,0,0,0,1,0,2,0,15184.14,9.628007,9.628007,0,22.33333,109081,95342.63,57736.3,0,0,0,0,0,0,3,0,1,1,87386.63,11.3781,,,,,1,18166.67,9.807343,0,0,38611.15,24,508712,839744,886557,862576.3,0,1,100,1
202,718,,16,1921,,18,1,1966,,1948,,0,0,44,,45.33333,,,27,1,0,1,0,0,151316.6,0,0,182466.7,0,0,238275.6,0,0,3,0,190686.3,12.15839,12.15839,0,18.33333,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,1,,,422407,,,,1,0,,1
4894,12947,,10,,1922,14,0,1966,,1952,100,0,0,41,44,43,46,30,27,0,0,0,1,0,26187.62,0,0,48704.13,0,0,1586.394,0,0,3,0,25492.71,10.14615,10.14615,0,16,20834.85,24540.93,37305.65,0,0,0,0,0,0,3,0,1,1,27560.48,10.22414,,,,,1,5920.667,8.686204,0,0,5212.519,27,75607,132948,131460,133776,1,1,100,1
1104,3205,,18,,1929,16,0,1966,,1950,100,0,0,40,37,42,39,21,24,0,1,0,1,0,82292.46,0,0,84193.44,0,0,91522.71,0,0,3,0,86002.87,11.36214,11.36214,0,18,45743.63,58495.32,56096.55,0,0,0,0,0,0,3,0,1,1,53445.17,10.88641,,,,,0,15033.33,9.618025,0,0,3475.013,29,360396,477422,514202,496581.7,1,1,100,1
2693,7461,,13,1916,1923,18,1,1966,,1948,,0,0,49,42,50.33333,43.33333,25,32,0,0,1,1,1,67652.72,0,0,50798.72,0,0,73567.09,0,0,3,0,64006.18,11.06674,11.06674,0,18.33333,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,1,,,362750,,,,1,0,,1
342,1066,,12,,1922,18,0,1966,,1948,,0,0,49,44,50,46,26,31,0,0,0,1,0,73205.63,0,0,68117.67,0,0,152.5378,0,0,3,0,47158.61,10.76127,10.76127,0,20,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,1,,,123613,,,,1,0,,1
4959,13057,,5,1908,,19,1,1966,,1947,33.33334,0,0,57,,58.33333,,,39,1,0,1,0,0,9245.872,0,0,9765.616,0,0,8174.121,0,0,3,0,9061.869,9.111831,9.111831,0,19.33333,31668.67,25977.6,17260.48,0,0,0,0,0,0,3,0,1,1,24968.92,10.12539,,,,,1,6285.333,8.745975,0,0,12511.08,29,122798,144909,155098,148811.3,1,1,0,1
