survey,id,women,wt_nls_parent,wt_nls_kid,wt_nls_avg
1966,1,1,100738.3,82818.22,91778.25
1966,2,1,131621.3,103485.6,117553.4
1979,3,1,2332.264,6078.614,4205.439
1966,5,0,441234.1,442097.5,441665.8
1966,7,0,435319.3,522865.3,479092.3
1979,7,0,8000.668,7898.605,7949.637
1966,9,1,491158.8,434352.1,462755.5
1979,9,0,3652.879,6661.618,5157.248
1966,10,0,331561.6,403756.6,367659.1
1966,10,1,484574.7,538278.3,511426.5
1966,13,0,546414.1,388494.4,467454.3
1979,14,1,14148.91,5045.864,9597.389
1979,15,0,12817.72,4943.248,8880.485
1979,21,1,1450.995,1935.49,1693.242
1979,22,1,5454.904,6757.128,6106.016
1979,24,0,2496.472,6530.471,4513.471
1979,26,0,1381.872,5679.36,3530.616
1966,31,0,397619.9,688675.3,543147.6
1979,31,0,1711.59,1120.363,1415.977
1979,33,0,5103.936,1542.069,3323.002
1979,36,0,4490.668,5511.44,5001.054
1979,38,1,4222.767,3389.896,3806.331
1966,40,0,285695,301355.3,293525.2
1979,41,0,1752.83,959.6633,1356.247
1979,42,0,5242.59,5965.577,5604.084
1979,44,1,1246.128,4144.381,2695.255
1966,45,1,581828.6,481756.1,531792.4
1979,46,1,3838.887,3605.566,3722.227
1966,47,1,481053.5,596178.8,538616.1
1966,48,1,459593,703244.3,581418.6
1966,51,1,389386.9,494376.8,441881.8
1966,53,0,296867.1,252994.3,274930.7
1979,53,0,1190.731,456.9928,823.8618
1966,56,1,461311.7,519705.3,490508.5
1979,60,0,1327.213,3490.311,2408.762
1979,61,1,10759.57,3772.701,7266.136
1979,62,1,10405.38,4780.255,7592.82
1966,64,1,379987,565530.9,472758.9
1979,68,1,1190.921,2101.18,1646.05
1966,69,0,135781.9,90851.13,113316.5
1966,69,1,282348.9,643409.3,462879.1
1979,69,0,1536.709,3122.656,2329.683
1966,70,1,333204.8,347341.3,340273.1
1966,71,1,391159.9,608054.2,499607.1
1966,72,1,527243.6,498736,512989.8
1966,73,1,383824.6,705173.9,544499.3
1966,75,1,386991.9,184489.2,285740.5
1966,76,1,414985.7,153073.3,284029.5
1979,76,0,2697.21,7016.796,4857.003
1966,77,0,122359.1,121409.8,121884.4
